,GAME,BET TYPE,BET,VALUE,ODDS,Probability of accuracy,Payout if win,Accuracy,Payout
1,South Florida vs Alabama,SPREAD,South Florida +13.5,6,-110,0.8279129189963000,11.45,TRUE,11.45
2,Saint Francis vs Florida,OVER UNDER,Under 155.5,5,-110,0.7931623163346310,9.55,FALSE,0
3,Saint Francis vs Florida,SPREAD,Florida -45.5,5,-110,0.7852376395534290,9.55,FALSE,0
4,Portland vs Oregon,OVER UNDER,Over 154.5,5,-110,0.8070694806246040,9.55,FALSE,0
5,Alabama A&M vs Mississippi,OVER UNDER,Under 135.5,4,-110,0.7153378436591150,7.64,FALSE,0
6,Xavier vs Creighton,ML,Xavier ML,4,-180,0.8412541084086900,6.22,FALSE,0
7,Portland vs Oregon,SPREAD,Oregon -19.5,3,-110,0.7011137373896780,5.73,TRUE,5.73
8,Cincinnati vs Alabama St.,OVER UNDER,Under 145.5,6,-110,0.8173337623337620,11.45,TRUE,11.45
9,Cincinnati vs Alabama St.,SPREAD,Alabama St. +20.5,4,-110,0.7538104288499030,7.64,FALSE,0
10,Vanderbilt vs Memphis,OVER UNDER,Over 159.5,4,-110,0.7102575655553710,7.64,FALSE,0
11,Marquette vs Georgetown,OVER UNDER,Over 150.5,6,-110,0.8149967718022910,11.45,FALSE,0
12,Marquette vs Georgetown,SPREAD,Georgetown +5.5,6,-110,0.8136799574694310,11.45,TRUE,11.45
13,Portland St. vs Colorado,OVER UNDER,Over 150.5,5,-110,0.7704780773090630,9.55,TRUE,9.55
14,UT Arlington vs Stanford,SPREAD,UT Arlington +12.5,3,-110,0.6995791245791250,5.73,FALSE,0
15,UCLA vs Arizona St.,SPREAD,UCLA -9.5,3,-110,0.6629808335544320,5.73,TRUE,5.73
16,Jacksonville St. vs Eastern Kentucky,ML,Jacksonville St. ML,7,-122,0.97838910947249,12.74,FALSE,0
17,Middle Tennessee vs Kennesaw St.,ML,Middle Tennessee ML,6,-170,0.9714925577483520,9.53,TRUE,9.53
18,Richmond vs Elon,OVER UNDER,Over 161.5,5,-110,0.8070694806246040,9.55,FALSE,0
19,South Alabama vs Louisiana Monroe,OVER UNDER,Over 149.5,5,-110,0.8070694806246040,9.55,TRUE,9.55
20,Texas A&M Corpus Chris vs Stephen F. Austin,OVER UNDER,Over 139.5,5,-110,0.8070694806246040,9.55,FALSE,0
21,Sam Houston St. vs Oregon St.,SPREAD,Oregon St. -3.5,5,-110,0.8009609890208620,9.55,FALSE,0
22,South Alabama vs Louisiana Monroe,SPREAD,Louisiana Monroe +9.5,5,-110,0.7935410685805420,9.55,TRUE,9.55
23,UAB vs Cleveland St.,OVER UNDER,Over 158.5,5,-110,0.7919179654730890,9.55,TRUE,9.55
24,Northern Iowa vs Illinois Chicago,ML,Northern Iowa ML,5,-238,0.9930232558139540,7.1,TRUE,7.1
25,James Madison vs Old Dominion,OVER UNDER,Over 147.5,5,-110,0.7847409319802660,9.55,FALSE,0
26,UC Davis vs Seattle,SPREAD,UC Davis +3.5,5,-110,0.776031263432593,9.55,TRUE,9.55
27,Saint Louis vs Bethune Cookman,SPREAD,Saint Louis -26.5,5,-110,0.7747363572835270,9.55,TRUE,9.55
28,UC Davis vs Seattle,OVER UNDER,Over 142.5,4,-110,0.752747242261155,7.64,TRUE,7.64
29,San Francisco vs Loyola Chicago,SPREAD,San Francisco -12.5,4,-110,0.7501195181629970,7.64,TRUE,7.64
30,Weber St. vs Utah Valley,SPREAD,Utah Valley -14.5,4,-110,0.7484831516130480,7.64,TRUE,7.64
31,Middle Tennessee vs Kennesaw St.,SPREAD,Middle Tennessee -3.5,4,-110,0.7444423034582290,7.64,FALSE,0
32,Arkansas St. vs Texas St.,OVER UNDER,Over 152.5,4,-110,0.7421829905188310,7.64,TRUE,7.64
33,San Francisco vs Loyola Chicago,OVER UNDER,Over 142.5,4,-110,0.739000417904379,7.64,TRUE,7.64
34,Stonehill vs New Hampshire,SPREAD,Stonehill +3.5,4,-110,0.7350057175528870,7.64,TRUE,7.64
35,Richmond vs Elon,SPREAD,Richmond -3.5,4,-110,0.7324579387780480,7.64,FALSE,0
36,Oakland vs Northern Kentucky,SPREAD,Northern Kentucky -2.5,4,-110,0.7309117721840830,7.64,FALSE,0
37,Sam Houston St. vs Oregon St.,OVER UNDER,Over 149.5,4,-110,0.7294557177915580,7.64,TRUE,7.64
38,Presbyterian vs East Carolina,OVER UNDER,Over 132.5,4,-110,0.729335526574861,7.64,FALSE,0
39,Houston Christian vs Nicholls St.,OVER UNDER,Under 138.5,4,-110,0.7252748682555830,7.64,FALSE,0
40,Stony Brook vs Albany,SPREAD,Stony Brook -11.5,4,-110,0.7231931112365900,7.64,FALSE,0
41,Stonehill vs New Hampshire,OVER UNDER,Over 138.5,4,-110,0.7123725109276350,7.64,FALSE,0
42,The Citadel vs Charleston,OVER UNDER,Under 145.5,4,-110,0.7111111111111110,7.64,FALSE,0
43,Pittsburgh vs Binghamton,SPREAD,Binghamton +25.5,4,-110,0.7106637675693940,7.64,FALSE,0
44,Gonzaga vs Campbell,OVER UNDER,Under 161.5,3,-110,0.7045633441859860,5.73,FALSE,0
45,Syracuse vs Mercyhurst,SPREAD,Mercyhurst +25.5,3,-110,0.6998099836721320,5.73,TRUE,5.73
46,Pittsburgh vs Binghamton,OVER UNDER,Under 136.5,3,-110,0.6886229682918990,5.73,FALSE,0
47,Tulane vs Louisiana Tech,ML,Tulane ML,3,-185,0.8247701149425290,4.62,TRUE,4.62
48,Stony Brook vs Albany,OVER UNDER,Over 145.5,3,-110,0.6768674604225840,5.73,FALSE,0
49,San Diego St. vs Air Force,OVER UNDER,Under 135.5,3,-110,0.6752877070619010,5.73,FALSE,0
50,UC Santa Barbara vs Green Bay,ML,UC Santa Barbara ML,3,-278,0.8976347612215620,4.08,FALSE,0
51,Middle Tennessee vs Kennesaw St.,OVER UNDER,Under 158.5,3,-110,0.6663375249538240,5.73,TRUE,5.73
,,,,,,,,,
,,,,,,,,,
,,,,220,,,,,189.3