,,FGM,FGA,,3M,3A,,FTM,FTA,,Clutch SM,REB,OPPReb,Off REB,Opp Off Reb,Turn,OppTurn,steal,Top 25,Overtime,Steal:Turnover Ratio,Clutch Value Sum
Abilene Christian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air Force,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama A&M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcorn St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appalachian St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas Pine Bluff,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Army,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Auburn,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Austin Peay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ball St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Baylor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bellarmine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belmont,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bethune Cookman,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Binghamton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Boise St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Boston College,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Boston University,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bowling Green,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bradley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bryant,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bucknell,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Buffalo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Butler,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BYU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cal Baptist,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cal Poly,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cal St. Bakersfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cal St. Fullerton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cal St. Northridge,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
California,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Campbell,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Canisius,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central Arkansas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central Connecticut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Central Michigan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Charleston,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Charleston Southern,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Charlotte,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chattanooga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chicago St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cincinnati,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clemson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cleveland St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Coastal Carolina,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colgate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colorado,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Colorado St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Columbia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Connecticut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Coppin St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cornell,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Creighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dartmouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Davidson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dayton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Delaware,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Delaware St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Denver,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DePaul,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Detroit Mercy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drake,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drexel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Duke,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Duquesne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
East Carolina,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
East Tennessee St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
East Texas A&M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eastern Illinois,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eastern Kentucky,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eastern Michigan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eastern Washington,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Elon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Evansville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fairfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fairleigh Dickinson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FIU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Florida,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Florida A&M,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Florida Atlantic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Florida Gulf Coast,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Florida St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fordham,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fresno St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Furman,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gardner Webb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
George Mason,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
George Washington,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Georgetown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Georgia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Georgia Southern,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Georgia St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Georgia Tech,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gonzaga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grambling St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Grand Canyon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Green Bay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hampton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Harvard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hawaii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
High Point,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hofstra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Holy Cross,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Houston,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Houston Christian,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Idaho,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Idaho St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Illinois,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Illinois Chicago,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Illinois St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Incarnate Word,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Indiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Indiana St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iona,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iowa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iowa St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
IU Indy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jackson St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jacksonville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jacksonville St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
James Madison,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kansas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kansas St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kennesaw St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kent St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kentucky,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
La Salle,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lafayette,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lamar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Le Moyne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lehigh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Liberty,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lindenwood,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lipscomb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Little Rock,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LIU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Long Beach St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Longwood,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Louisiana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Louisiana Monroe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Louisiana Tech,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Louisville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Loyola Chicago,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Loyola Marymount,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Loyola MD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LSU,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Manhattan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marist,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marquette,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marshall,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maryland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maryland Eastern Shore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Massachusetts,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
McNeese St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Memphis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mercer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mercyhurst,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Merrimack,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Miami FL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Miami OH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michigan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michigan St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Middle Tennessee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Milwaukee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Minnesota,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mississippi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mississippi St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mississippi Valley St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Missouri,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
